url;ipAddr;caseSensitive;fileExtension;defaultPage;allHeaders;serverHeader;xPoweredByHeader;xGeneratorHeader;cookies;iconsAlias;apache_pb2gif;poweredbypng;apacheht;COM1;LPT1;AUX;url20k;header20k;doubleHeaders;nmapOsName;nmapOsClass;nmapOsFull;r400;r403;r404;r405;r413;r414;r431;r501;r505;r400F;r403F;r404F;r405F;r413F;r414F;r431F;r501F;r505F;serverNameLabel;progLangLabel;osLabel
https://cryosafe.com:443/;146.20.166.114;FALSE;aspx;;;Microsoft-IIS/10.0;ASP.NET;;93f37926d433cd8f307f8439ef535e4d;404;;;404;404;404;404;1ef3bb0a0f21e2edc8cde51dbb4a5d50;c68cc480513c3aa65c66948faa5da189;c68cc480513c3aa65c66948faa5da189;Microsoft Windows Server 2008 R2 or Windows 8;b4a9f017be29f25a4a0fd7385b42da32;b95bcfe11b60c3a8ae918a21a3fd92b2;;;;;;;;;;93b17548f8f23ad8a33060f706baca1d;;;;;13f39bc2608363e208ba9494d5d6379c;;;;IIS;ASP.NET;Windows
https://www.dne.global:443/;192.162.28.27;TRUE;php;;;Apache;;;;200;dad5831ab9cf544229da88da2a1e761e;;403;404;404;404;13103fcf17a6afe305186e5b5343b34d;4c895a1c72a2135bc91e7cfe7a46e227;c68cc480513c3aa65c66948faa5da189;FreeBSD 11.0-STABLE or 11.0-RELEASE;fd630e15f16d1df592323c94c20c1d84;67abf5e6e161a29b225471f33c84662c;4ec18338c5f96ced5eb7a14d78bd935e;86685d8591270dc12192a5f59713af29;720b0a152e808f132f1c7c976405541b;f2b4352d3c18962d406c30a9d082a457;;3350c6ad40cfa53271136d6a79a3c52a;;6b153859f42bbb7363ea4eadf52aed8e;;e946fd60df0e24f957bd539c00d6f91d;bb8f534fbff5ee61a95af9c4740ae043;a34ac19f4afae63adc5d2f7bc970c07f;6ee93fcde9ac4ebcad5fb3c52010d641;;61063d620a52b711b45c5c05f0bdd9e5;;b15a8e50b1bafe375361688d21c758d1;;Apache;PHP;Linux
http://hootec.jp:80/;150.60.157.168;TRUE;;;;Apache;;;5ac3f408507512df6d64baaed825f224;404;;;403;404;404;404;13103fcf17a6afe305186e5b5343b34d;4c895a1c72a2135bc91e7cfe7a46e227;c68cc480513c3aa65c66948faa5da189;FreeBSD 7.0-RELEASE - 9.0-RELEASE;afbfba7aa2ea776856af5690cbe5bbd4;8ae4217e5d59b7f55278d47799b2aafb;4ec18338c5f96ced5eb7a14d78bd935e;86685d8591270dc12192a5f59713af29;720b0a152e808f132f1c7c976405541b;f2b4352d3c18962d406c30a9d082a457;;97f5849fec29ba01b4dd1b6f2b390219;;9da39b9acf66e36f4f7048951ed0445a;;e946fd60df0e24f957bd539c00d6f91d;0152ed695f4291488741d98ba066d280;a59a696caee588826a365d80e9a57e16;8cd03225fec9516436c561697d9d2ec2;;65ca466aaac3e747f47f8e730b6500e3;;9d7268ada49739702c615d2dd48bf961;;Apache;PHP;Linux
https://e.six02.com:443/;67.134.222.134;;;;;Apache;;;;404;;;403;404;404;404;13103fcf17a6afe305186e5b5343b34d;c68cc480513c3aa65c66948faa5da189;f168770041e02591674e70e3f8e1bd5b;F5 BIG-IP Edge Gateway;7c304409693f5ebb29db60039046c098;230147c5ee465dfc2d26ab2b2abc0c97;4ec18338c5f96ced5eb7a14d78bd935e;86685d8591270dc12192a5f59713af29;;f2b4352d3c18962d406c30a9d082a457;;97f5849fec29ba01b4dd1b6f2b390219;;9da39b9acf66e36f4f7048951ed0445a;;e946fd60df0e24f957bd539c00d6f91d;0152ed695f4291488741d98ba066d280;;8cd03225fec9516436c561697d9d2ec2;;65ca466aaac3e747f47f8e730b6500e3;;9d7268ada49739702c615d2dd48bf961;;Apache;;
https://www.tkp.jp:443/;124.146.197.131;TRUE;php;;;Apache;;;;404;;;404;404;404;404;13103fcf17a6afe305186e5b5343b34d;4c895a1c72a2135bc91e7cfe7a46e227;c68cc480513c3aa65c66948faa5da189;Vonage V-Portal VoIP adapter;485848c53b70758da76807aea2a912c5;196f9bbeb95164f80e114ab4e3c0c80c;;;;f2b4352d3c18962d406c30a9d082a457;;97f5849fec29ba01b4dd1b6f2b390219;;9da39b9acf66e36f4f7048951ed0445a;;;;;8cd03225fec9516436c561697d9d2ec2;;65ca466aaac3e747f47f8e730b6500e3;;9d7268ada49739702c615d2dd48bf961;;Apache;PHP;Linux
https://palmsprings.cruiseholidays.com:443/;52.25.132.181;FALSE;aspx;;;Microsoft-IIS/10.0;ASP.NET;;93f37926d433cd8f307f8439ef535e4d;404;;;404;404;404;404;1ef3bb0a0f21e2edc8cde51dbb4a5d50;c68cc480513c3aa65c66948faa5da189;c68cc480513c3aa65c66948faa5da189;;6adf97f83acf6453d4a6a4b1070f3754;d751713988987e9331980363e24189ce;;;;;;;;;;93b17548f8f23ad8a33060f706baca1d;;;;;13f39bc2608363e208ba9494d5d6379c;;;;IIS;ASP.NET;Windows
http://www.azvalleytech.com:80/;168.62.224.13;;php;;;Microsoft-IIS/10.0;PHP/5.6.40, ASP.NET;;;404;;;404;404;404;404;;f168770041e02591674e70e3f8e1bd5b;f168770041e02591674e70e3f8e1bd5b;OpenBSD 4.3;3fd03000d671c82f4d01245a99d92586;3f9205fac8e264794bfac4ce5344f2ab;;;;;;;;;;;;;;;;;;;IIS;PHP;Windows
http://54.223.56.77:80/;54.223.56.77;;jsp;;;Apache-Coyote/1.1;;;c56dada4492c54d712f2ee7ccbebe624;404;;;404;404;404;404;a2ca62ea1eb8dbbcbf8b42dd228f710a;c7ea7ecf5cbca0c4080e182a4f089e8f;c7ea7ecf5cbca0c4080e182a4f089e8f;;6adf97f83acf6453d4a6a4b1070f3754;6adf97f83acf6453d4a6a4b1070f3754;4ec18338c5f96ced5eb7a14d78bd935e;47b502f154bf809f427a9f690d68de71;47b502f154bf809f427a9f690d68de71;f2b4352d3c18962d406c30a9d082a457;;97f5849fec29ba01b4dd1b6f2b390219;;47b502f154bf809f427a9f690d68de71;;e946fd60df0e24f957bd539c00d6f91d;8b9480ebb823db1b1aa7a8a5e6d42afc;52726b1c33bce1971519131d2d3574e7;8cd03225fec9516436c561697d9d2ec2;;65ca466aaac3e747f47f8e730b6500e3;;3a3d7f7a502a4e3a5d8024634cde9afd;;Tomcat;JSP;
https://robertwattsjr.com:443/;65.110.72.22;TRUE;;;;Apache;;;;404;;;404;404;404;404;13103fcf17a6afe305186e5b5343b34d;4c895a1c72a2135bc91e7cfe7a46e227;c68cc480513c3aa65c66948faa5da189;Fortinet FortiGate 100D firewall;b6559338badd0d431c353702999c2017;1261c7ed8fb0e38b18dd9e0741d97b29;4ec18338c5f96ced5eb7a14d78bd935e;86685d8591270dc12192a5f59713af29;720b0a152e808f132f1c7c976405541b;f2b4352d3c18962d406c30a9d082a457;;3350c6ad40cfa53271136d6a79a3c52a;;6b153859f42bbb7363ea4eadf52aed8e;;765723742c4ecd4732968754bb00b518;fa172c77abd7b03605d83cd1ae373657;a34ac19f4afae63adc5d2f7bc970c07f;14f4d7961e90bfa7d4e4d8348038c957;;777ac0a7e1913d43ed1fa58da70ecad5;;1819bc847002a267db8cf4d39d92d87c;;Apache;;Linux
https://www.cbmerchantservices.com:443/;107.180.25.208;TRUE;php;;;Apache;PHP/7.4.28;;;404;;;404;404;404;404;13103fcf17a6afe305186e5b5343b34d;4c895a1c72a2135bc91e7cfe7a46e227;c68cc480513c3aa65c66948faa5da189;Linux 2.6.32 - 3.13;33080a59b688cd82b1f4885eb990f569;d5c38dbde60daa5f9f620fb1419da5e1;4ec18338c5f96ced5eb7a14d78bd935e;86685d8591270dc12192a5f59713af29;;f2b4352d3c18962d406c30a9d082a457;;3350c6ad40cfa53271136d6a79a3c52a;;6b153859f42bbb7363ea4eadf52aed8e;;765723742c4ecd4732968754bb00b518;fa172c77abd7b03605d83cd1ae373657;;14f4d7961e90bfa7d4e4d8348038c957;;777ac0a7e1913d43ed1fa58da70ecad5;;1819bc847002a267db8cf4d39d92d87c;;Apache;PHP;Linux
